dataset,seed,displacement,protocol,metric,method,n_queries,coverage,conditional_cost
breast_cancer,37,1.0,immutable_top3,scaled_l2,fixed_support_exact,78,0.07692307692307693,0.22167887606558292
breast_cancer,37,1.0,immutable_top3,scaled_l2,native_exact_sparse,78,1.0,1.0461099544648702
breast_cancer,41,0.0,free,weighted_l1,metric_projection,82,1.0,1.2553402112017733
breast_cancer,41,0.0,free,weighted_l1,metric_repair,82,1.0,1.2553402112017733
breast_cancer,41,0.0,free,weighted_l1,fixed_support_exact,82,1.0,1.2553402112017733
breast_cancer,41,0.0,free,weighted_l1,native_exact_sparse,82,1.0,1.2553402112017733
breast_cancer,41,0.0,free,scaled_l2,metric_projection,82,1.0,1.215227437736161
breast_cancer,41,0.0,free,scaled_l2,metric_repair,82,1.0,1.215227437736161
breast_cancer,41,0.0,free,scaled_l2,fixed_support_exact,82,1.0,1.215227437736161
breast_cancer,41,0.0,free,scaled_l2,native_exact_sparse,82,1.0,1.215227437736161
breast_cancer,41,0.0,immutable,weighted_l1,metric_projection,82,1.0,1.2553402112017733
breast_cancer,41,0.0,immutable,weighted_l1,metric_repair,82,1.0,1.2553402112017733
breast_cancer,41,0.0,immutable,weighted_l1,fixed_support_exact,82,1.0,1.2553402112017733
breast_cancer,41,0.0,immutable,weighted_l1,native_exact_sparse,82,1.0,1.2553402112017733
breast_cancer,41,0.0,immutable,scaled_l2,metric_projection,82,1.0,1.215227437736161
breast_cancer,41,0.0,immutable,scaled_l2,metric_repair,82,1.0,1.215227437736161
breast_cancer,41,0.0,immutable,scaled_l2,fixed_support_exact,82,1.0,1.215227437736161
breast_cancer,41,0.0,immutable,scaled_l2,native_exact_sparse,82,1.0,1.215227437736161
breast_cancer,41,0.0,immutable_top3,weighted_l1,metric_projection,82,0.23170731707317074,0.6243505942807078
breast_cancer,41,0.0,immutable_top3,weighted_l1,metric_repair,82,0.23170731707317074,0.6243505942807078
breast_cancer,41,0.0,immutable_top3,weighted_l1,fixed_support_exact,82,0.3048780487804878,0.6797677987231885
breast_cancer,41,0.0,immutable_top3,weighted_l1,native_exact_sparse,82,1.0,1.2553402112017733
breast_cancer,41,0.0,immutable_top3,scaled_l2,metric_projection,82,0.23170731707317074,0.6243505942807078
breast_cancer,41,0.0,immutable_top3,scaled_l2,metric_repair,82,0.23170731707317074,0.6243505942807078
breast_cancer,41,0.0,immutable_top3,scaled_l2,fixed_support_exact,82,0.3048780487804878,0.6797677987231885
breast_cancer,41,0.0,immutable_top3,scaled_l2,native_exact_sparse,82,1.0,1.215227437736161
breast_cancer,41,1.0,free,weighted_l1,metric_projection,82,1.0,1.2553402112017733
breast_cancer,41,1.0,free,weighted_l1,metric_repair,82,1.0,1.2553402112017733
breast_cancer,41,1.0,free,weighted_l1,fixed_support_exact,82,1.0,1.2553402112017733
breast_cancer,41,1.0,free,weighted_l1,native_exact_sparse,82,1.0,1.2553402112017733
breast_cancer,41,1.0,free,scaled_l2,metric_projection,82,1.0,1.215227437736161
breast_cancer,41,1.0,free,scaled_l2,metric_repair,82,1.0,1.215227437736161
breast_cancer,41,1.0,free,scaled_l2,fixed_support_exact,82,1.0,1.215227437736161
breast_cancer,41,1.0,free,scaled_l2,native_exact_sparse,82,1.0,1.215227437736161
breast_cancer,41,1.0,immutable,weighted_l1,metric_projection,82,1.0,1.2553402112017733
breast_cancer,41,1.0,immutable,weighted_l1,metric_repair,82,1.0,1.2553402112017733
breast_cancer,41,1.0,immutable,weighted_l1,fixed_support_exact,82,1.0,1.2553402112017733
breast_cancer,41,1.0,immutable,weighted_l1,native_exact_sparse,82,1.0,1.2553402112017733
breast_cancer,41,1.0,immutable,scaled_l2,metric_projection,82,1.0,1.215227437736161
breast_cancer,41,1.0,immutable,scaled_l2,metric_repair,82,1.0,1.215227437736161
breast_cancer,41,1.0,immutable,scaled_l2,fixed_support_exact,82,1.0,1.215227437736161
breast_cancer,41,1.0,immutable,scaled_l2,native_exact_sparse,82,1.0,1.215227437736161
breast_cancer,41,1.0,immutable_top3,weighted_l1,metric_projection,82,0.23170731707317074,0.6243505942807078
breast_cancer,41,1.0,immutable_top3,weighted_l1,metric_repair,82,0.23170731707317074,0.6243505942807078
breast_cancer,41,1.0,immutable_top3,weighted_l1,fixed_support_exact,82,0.3048780487804878,0.6797677987231885
breast_cancer,41,1.0,immutable_top3,weighted_l1,native_exact_sparse,82,1.0,1.2553402112017733
breast_cancer,41,1.0,immutable_top3,scaled_l2,metric_projection,82,0.23170731707317074,0.6243505942807078
breast_cancer,41,1.0,immutable_top3,scaled_l2,metric_repair,82,0.23170731707317074,0.6243505942807078
breast_cancer,41,1.0,immutable_top3,scaled_l2,fixed_support_exact,82,0.3048780487804878,0.6797677987231885
