dataset,seed,support_rule,draw,n_queries,coverage,mean_cost_valid,mean_changed_valid,sparse_share_leq3
adult_income,61,random,2,200,0.925,0.9374816211569319,1.0864864864864865,1.0
adult_income,61,random,3,200,0.865,0.9033969988574874,1.0635838150289016,1.0
adult_income,61,random,4,200,0.9,0.9480305006903494,1.1055555555555556,1.0
adult_income,61,feature_importance,0,200,1.0,0.7787384575830555,1.0,1.0
adult_income,73,nearest_positive,0,200,1.0,0.7594376329642131,1.02,1.0
adult_income,73,random,0,200,1.0,1.1202814219914072,1.095,1.0
adult_income,73,random,1,200,1.0,1.0411115816002527,1.085,1.0
adult_income,73,random,2,200,1.0,1.087171698352812,1.105,1.0
adult_income,73,random,3,200,1.0,1.1768900826265782,1.14,1.0
adult_income,73,random,4,200,1.0,1.2492541193090945,1.135,1.0
adult_income,73,feature_importance,0,200,1.0,0.6336502956607452,1.0,1.0
adult_income,89,nearest_positive,0,200,1.0,0.6059608473544097,1.035,1.0
adult_income,89,random,0,200,1.0,0.9441100951807928,1.045,1.0
adult_income,89,random,1,200,1.0,0.9107409527692113,1.11,1.0
adult_income,89,random,2,200,1.0,1.1102212933605202,1.12,1.0
adult_income,89,random,3,200,1.0,0.9012013863722222,1.105,1.0
adult_income,89,random,4,200,1.0,1.2107743894793381,1.125,1.0
adult_income,89,feature_importance,0,200,1.0,0.5826461639375587,1.0,1.0
german_credit,7,nearest_positive,0,58,1.0,0.3980008993345893,1.0689655172413792,1.0
german_credit,7,random,0,58,1.0,0.7391535711855872,1.0689655172413792,1.0
german_credit,7,random,1,58,1.0,0.698209277154066,1.0862068965517242,1.0
german_credit,7,random,2,58,1.0,0.6842134118397138,1.103448275862069,1.0
german_credit,7,random,3,58,1.0,0.5169323660105672,1.0862068965517242,1.0
german_credit,7,random,4,58,1.0,0.6197239066589703,1.1206896551724137,1.0
german_credit,7,feature_importance,0,58,1.0,0.3869477072534952,1.0689655172413792,1.0
german_credit,13,nearest_positive,0,65,1.0,0.29178577406477124,1.0307692307692307,1.0
german_credit,13,random,0,65,0.9230769230769231,0.561041994220134,1.0166666666666666,1.0
german_credit,13,random,1,65,0.9230769230769231,0.661562537500823,1.0166666666666666,1.0
